,precision,recall,f1-score,support
0,0.0,0.0,0.0,33.0
1,0.0,0.0,0.0,29.0
2,0.0,0.0,0.0,20.0
3,0.0,0.0,0.0,36.0
4,0.0,0.0,0.0,31.0
5,0.0,0.0,0.0,26.0
6,0.0,0.0,0.0,32.0
7,0.0,0.0,0.0,32.0
8,0.0,0.0,0.0,33.0
9,0.09333333333333334,1.0,0.17073170731707318,28.0
accuracy,0.09333333333333334,0.09333333333333334,0.09333333333333334,0.09333333333333334
macro avg,0.009333333333333334,0.1,0.01707317073170732,300.0
weighted avg,0.00871111111111111,0.09333333333333334,0.0159349593495935,300.0
